Date,Open,High,Low,Close,Adj Close,Volume
2023-05-24,68100.000000,68700.000000,68000.000000,68500.000000,67485.750000,8192896
2023-05-25,69900.000000,70000.000000,68700.000000,68800.000000,67781.304688,14231160
2023-05-26,69800.000000,70400.000000,69500.000000,70300.000000,69259.093750,19549511
2023-05-30,71300.000000,72300.000000,71200.000000,72300.000000,71229.492188,27476897
2023-05-31,72400.000000,72500.000000,71000.000000,71400.000000,70342.812500,25666087
2023-06-01,70900.000000,71600.000000,70600.000000,70900.000000,69850.210938,14669296
2023-06-02,71700.000000,72200.000000,71600.000000,72200.000000,71130.968750,12161798
2023-06-05,72700.000000,72700.000000,71400.000000,71700.000000,70638.367188,12686829
2023-06-07,71300.000000,71600.000000,70800.000000,71000.000000,69948.734375,14796613
2023-06-08,70400.000000,70900.000000,70000.000000,70900.000000,69850.210938,19165568
2023-06-09,71100.000000,72300.000000,70800.000000,72000.000000,70933.937500,15050209
2023-06-12,72100.000000,72400.000000,70800.000000,71000.000000,69948.734375,12064287
2023-06-13,71700.000000,72200.000000,71600.000000,72000.000000,70933.937500,13227285
2023-06-14,72100.000000,72200.000000,71100.000000,71900.000000,70835.414063,12541046
2023-06-15,72100.000000,72300.000000,71300.000000,71500.000000,70441.328125,13614994
2023-06-16,71800.000000,71900.000000,70900.000000,71800.000000,70736.882813,15373696
2023-06-19,71300.000000,71700.000000,70900.000000,71200.000000,70145.773438,11100887
2023-06-20,70700.000000,71400.000000,70400.000000,71400.000000,70342.812500,11557883
2023-06-21,70700.000000,71200.000000,70400.000000,70500.000000,69456.148438,10626603
2023-06-22,70200.000000,71500.000000,70100.000000,71300.000000,70244.289063,11411007
2023-06-23,72000.000000,72200.000000,71600.000000,71600.000000,70539.851563,12329484
2023-06-26,71700.000000,72500.000000,71500.000000,72400.000000,71328.000000,10541901
2023-06-27,72500.000000,72600.000000,72000.000000,72600.000000,71525.046875,9442997
2023-06-28,72600.000000,72700.000000,72000.000000,72700.000000,71623.562500,8783093
2023-06-29,73100.000000,73400.000000,72400.000000,72400.000000,71683.953125,12229967
2023-06-30,72500.000000,72700.000000,71700.000000,72200.000000,71485.937500,11694765
2023-07-03,72700.000000,73200.000000,72600.000000,73000.000000,72278.023438,10722181
2023-07-04,73400.000000,73600.000000,72900.000000,73000.000000,72278.023438,10214350
2023-07-05,73000.000000,73300.000000,71900.000000,72000.000000,71287.921875,12310610
2023-07-06,71900.000000,72400.000000,71500.000000,71600.000000,70891.875000,14777667
2023-07-07,71100.000000,71400.000000,69800.000000,69900.000000,69208.679688,17308877
2023-07-10,70000.000000,70400.000000,69200.000000,69500.000000,68812.640625,11713926
2023-07-11,70200.000000,71500.000000,70100.000000,71500.000000,70792.859375,12177392
2023-07-12,71200.000000,72000.000000,71100.000000,71900.000000,71188.906250,10375581
2023-07-13,72400.000000,72600.000000,71900.000000,71900.000000,71188.906250,14417279
2023-07-14,72500.000000,73400.000000,72400.000000,73400.000000,72674.070313,15882519
2023-07-17,73200.000000,73500.000000,72800.000000,73300.000000,72575.054688,10060049
